ville,lien,Agriculteurs exploitants,"Artisans, commerçants, chefs d'entreprise",Cadres et professions intellectuelles supérieures,Professions intermédiaires,Employés,Ouvriers,Aucun diplôme,CAP / BEP ,Baccalauréat / brevet professionnel,Diplôme de l'enseignement supérieur,Aucun diplôme (%) hommes,Aucun diplôme (%) femmes,CAP / BEP  (%) hommes,CAP / BEP  (%) femmes,Baccalauréat / brevet professionnel (%) hommes,Baccalauréat / brevet professionnel (%) femmes,Diplôme de l'enseignement supérieur (%) hommes,Diplôme de l'enseignement supérieur (%) femmes
Andelot-Blancheville (52700),/management/ville/andelot-blancheville/ville-52008,30.0,5.0,30.0,71.0,137.0,126.0,255.0,220.0,132.0,95.0,30.2,41.7,37.5,24.0,19.6,18.3,12.7,14.2
Aast (64460),/management/ville/aast/ville-64001,5.0,24.0,19.0,24.0,29.0,10.0,26.0,47.0,23.0,49.0,15.9,18.7,39.1,24.4,14.5,17.3,30.4,37.3
Bauvin (59221),/management/ville/bauvin/ville-59052,15.0,97.0,214.0,627.0,856.0,668.0,1141.0,1111.0,684.0,899.0,24.2,34.7,34.9,22.1,19.0,16.8,21.9,24.9
Alboussière (07440),/management/ville/alboussiere/ville-07007,16.0,32.0,43.0,144.0,91.0,112.0,233.0,192.0,128.0,199.0,26.5,34.7,34.0,17.9,18.0,16.1,21.5,30.8
Aulnat (63510),/management/ville/aulnat/ville-63019,5.0,65.0,80.0,438.0,642.0,671.0,1076.0,1064.0,497.0,448.0,30.5,38.7,41.4,25.5,14.9,17.2,13.2,15.7
Bandol (83150),/management/ville/bandol/ville-83009,15.0,435.0,435.0,770.0,970.0,290.0,1943.0,1619.0,1425.0,2016.0,23.4,31.3,27.4,20.0,19.0,21.5,30.3,27.6
Avocourt (55270),/management/ville/avocourt/ville-55023,25.0,5.0,5.0,0.0,10.0,10.0,32.0,23.0,19.0,16.0,34.0,39.0,28.0,20.5,26.0,14.6,12.0,24.4
Arvieu (12120),/management/ville/arvieu/ville-12011,100.0,40.0,25.0,55.0,45.0,45.0,201.0,146.0,129.0,165.0,24.2,38.6,27.6,17.4,24.5,15.8,23.6,27.8
Blandas (30770),/management/ville/blandas/ville-30040,0.0,0.0,11.0,16.0,16.0,11.0,35.0,23.0,33.0,31.0,28.6,27.6,22.2,16.7,31.7,22.4,17.5,34.5
Bérat (31370),/management/ville/berat/ville-31065,20.0,74.0,168.0,420.0,510.0,312.0,437.0,606.0,398.0,589.0,20.6,22.5,35.7,23.4,19.2,20.0,24.5,33.1
Arcey (25750),/management/ville/arcey/ville-25022,10.0,20.0,65.0,230.0,181.0,125.0,293.0,309.0,156.0,276.0,22.2,34.4,39.0,20.1,13.3,16.8,25.5,27.9
Bonnefoi (61270),/management/ville/bonnefoi/ville-61052,0.0,5.0,5.0,20.0,39.0,15.0,35.0,58.0,21.0,24.0,17.1,33.3,57.1,24.0,12.9,17.4,12.9,23.2
Beauvoir (50170),/management/ville/beauvoir/ville-50042,25.0,20.0,20.0,20.0,24.0,40.0,125.0,97.0,41.0,68.0,34.4,41.1,35.6,20.6,14.4,10.7,15.6,25.0
Arvieux (05350),/management/ville/arvieux/ville-05007,15.0,31.0,10.0,46.0,46.0,10.0,59.0,92.0,61.0,78.0,14.7,25.7,40.6,22.2,23.1,19.6,21.7,31.8
Abainville (55130),/management/ville/abainville/ville-55001,20.0,0.0,10.0,35.0,10.0,45.0,91.0,82.0,33.0,26.0,32.8,46.4,44.3,22.8,14.8,13.6,8.2,14.5
Brion (38590),/management/ville/brion/ville-38060,5.0,0.0,0.0,20.0,15.0,15.0,30.0,26.0,17.0,27.0,28.6,31.9,32.1,18.4,17.9,14.9,21.4,34.0
Bandraboua (97650),/management/ville/bandraboua/ville-97602,,,,,,,,,,,,,,,,,,
Beugneux (02210),/management/ville/beugneux/ville-02082,5.0,0.0,0.0,25.0,5.0,20.0,34.0,17.0,16.0,15.0,47.6,35.0,21.4,20.5,16.7,22.5,14.3,22.5
Archail (04420),/management/ville/archail/ville-04009,0.0,0.0,0.0,5.0,0.0,5.0,6.0,4.0,2.0,2.0,42.9,42.9,28.6,25.0,14.3,14.3,14.3,14.3
Andelot-en-Montagne (39110),/management/ville/andelot-en-montagne/ville-39009,0.0,15.0,25.0,60.0,95.0,80.0,112.0,119.0,69.0,87.0,24.2,33.5,41.6,20.4,14.7,20.8,19.5,25.4
